DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC      RAD
30/01/2019 14:00       226       248      0.80      6.70       9.5        52     871.0       0.0       4.5
30/01/2019 15:00       263       300      2.64      6.80      10.5        49     871.7       0.0      44.7
30/01/2019 16:00        93        96      4.30     11.20      12.4        45     872.2       0.0     177.7
30/01/2019 17:00        80        91      7.16     13.50      14.7        39     872.6       0.0     354.7
30/01/2019 18:00       199       218      9.09     20.50      17.2        32     872.4       0.0     605.3
30/01/2019 19:00       225       264     13.16     27.00      17.9        30     871.7       0.0     536.0
30/01/2019 20:00       187       223     12.26     30.20      18.4        30     870.8       0.0     513.5
30/01/2019 21:00       222       260     12.50     28.10      18.7        31     870.4       0.0     390.8
30/01/2019 22:00       240       267     14.25     32.40      18.6        29     870.2       0.0     290.0
30/01/2019 23:00       235       248     13.72     24.70      17.5        30     870.2       0.0     117.3
31/01/2019 00:00       228       235     10.66     22.00      16.8        30     870.5       0.0      45.7
31/01/2019 01:00       223       229      7.49     17.40      16.1        32     870.6       0.0       2.3
31/01/2019 02:00       250       260      5.04     10.20      14.9        35     871.1       0.0       0.0
31/01/2019 03:00       269       273      4.03      8.00      13.8        38     871.5       0.0       0.0
31/01/2019 04:00       285       278      5.17      9.40      12.9        40     871.9       0.0       0.0
31/01/2019 05:00       193       225      5.48     15.10      12.4        44     872.1       0.0       0.0
31/01/2019 06:00       214       225     14.46     25.40      13.4        42     872.2       0.0       0.0
31/01/2019 07:00       238       225      7.27     25.20      12.5        44     872.5       0.0       0.0
31/01/2019 08:00       109       272      2.15     10.20      10.7        49     872.5       0.0       0.0
31/01/2019 09:00       253       309      3.05      6.20       9.7        52     872.6       0.0       0.0
31/01/2019 10:00        24       355      2.06      5.40       9.0        54     872.7       0.0       0.0
31/01/2019 11:00       261       236      1.85      6.00       7.7        58     872.7       0.0       0.0
31/01/2019 12:00       267       268      2.48      5.60       7.1        60     872.7       0.0       0.0
31/01/2019 13:00       359       347      2.10      7.60       7.0        60     872.9       0.0       0.0
31/01/2019 14:00       253       254      2.63      5.70       6.9        62     873.3       0.0      22.0
31/01/2019 15:00       237       182      0.42      6.60      10.6        52     873.8       0.0     203.8
31/01/2019 16:00        85        97      4.80     10.90      13.9        44     874.3       0.0     443.3
31/01/2019 17:00       206       244      2.88     12.90      16.1        38     874.5       0.0     600.8
31/01/2019 18:00       173       259      5.31     20.30      17.7        34     874.3       0.0     714.2
31/01/2019 19:00       214       220     11.67     23.50      18.3        30     873.7       0.0     728.5
31/01/2019 20:00       196       230     12.68     26.70      18.6        25     872.9       0.0     741.5
31/01/2019 21:00       209       234     13.27     30.10      18.8        28     872.4       0.0     555.5
31/01/2019 22:00       200       225     13.21     29.50      18.8        31     872.0       0.0     411.3
31/01/2019 23:00       212       214     12.75     28.70      17.8        32     872.0       0.0     163.5
01/02/2019 00:00       228       238     12.71     29.20      16.7        38     872.0       0.0      40.2
01/02/2019 01:00       214       226      6.66     14.70      15.7        42     872.0       0.0       1.7
01/02/2019 02:00       198       219      5.05      9.50      14.6        45     872.3       0.0       0.0
01/02/2019 03:00       245       253      8.84     15.60      13.4        49     872.7       0.0       0.0
01/02/2019 04:00       209       218      9.20     20.50      14.1        51     873.0       0.0       0.0
01/02/2019 05:00       162       208      6.77     16.10      13.6        53     873.0       0.0       0.0
01/02/2019 06:00       146       168      7.67     14.80      12.7        59     873.2       0.0       0.0
01/02/2019 07:00       174       171      7.14     19.50      12.7        63     873.0       0.0       0.0
01/02/2019 08:00       158       185      9.10     15.30                  66     872.7       0.0       0.0
