  FECHA   PRECIP  EVAP   TMAX   TMIN     
17/12/1967  0     Nulo    19    Nulo
18/12/1967  0      2      21     6 
19/12/1967  0      2.7    20     9 
20/12/1967  0      7.7    23     12 
21/12/1967  0      3.4    21     11 
22/12/1967  0      3.4    21     7 
23/12/1967  0      4.7    21     7 
24/12/1967  0      2.3    22     7 
25/12/1967  0      1      23     6 
26/12/1967  0      0.9    22     6 
27/12/1967  0      0.6    25     7 
28/12/1967  0      4      23     7 
29/12/1967  0      1.7    24     7 
30/12/1967  0      1.7    25     9 
31/12/1967  0      3      25     9 
01/01/1968  0      3.2    24     8 
02/01/1968  0      2.3    20.5   7 
03/01/1968  0      2      22     11 
04/01/1968  0      3      21     10 
05/01/1968  0      1.1    20     6 
06/01/1968  0      2.2    20     11 
07/01/1968  0      1      17     11 
08/01/1968  0      1.9    20     11 
09/01/1968  0      1.5    23     5.5 
10/01/1968  0      4.5    24     8 
11/01/1968  0      2.7    26     7 
12/01/1968  0      2.6    26     8 
13/01/1968  0      3.3    23     10 
14/01/1968  0      3.5    22     8 
15/01/1968  0      4.2    22     7 
16/01/1968  0      1.8    21     7.5 
17/01/1968  0      2.8    25     8 
18/01/1968  0      4.7    24     9 
19/01/1968  0      4.9    24     6 
20/01/1968  0      4.1    24     5 
21/01/1968  0      4.8    26     5 
22/01/1968  0      4.1    25     5 
23/01/1968  0      3.3    31     5.5 
24/01/1968  0      3      29     7 
25/01/1968  0      3.2    26     7 
26/01/1968  8      2.1    24     13 
27/01/1968  0      1.1    26     15 
28/01/1968  0      1.9    25     14 
29/01/1968  0      0.9    23     13 
30/01/1968  0      0.9    26     14 
31/01/1968  0      1.9    27     13 
01/02/1968  0      3      27     7 
02/02/1968  0      2      28     8 
03/02/1968  0      8.2    25     7 
04/02/1968  0      2.2    26     8 
05/02/1968  0      1.9    30     8 
06/02/1968  0      3      29     8 
07/02/1968  0      3.5    29     11 
08/02/1968  0      4.2    28     12 
09/02/1968  7      0.1    21     14 
10/02/1968  0      1.9    26     11 
11/02/1968  0      1.9    23     12 
12/02/1968  0      3      24     12 
13/02/1968  11     0.8    27     13 
14/02/1968  0      2.6    23     15 
15/02/1968  0      3.4    24     14 
16/02/1968  0      1.7    26     12 
17/02/1968  0      4      26     11 
18/02/1968  0      4.2    27     9 
19/02/1968  0      4.4    29     10 
20/02/1968  0      5.1    29     10 
21/02/1968  0      4      31     10 
22/02/1968  0      4.2    28     10.5 
23/02/1968  0      4.2    27     11 
24/02/1968  0      2.8    29     11 
25/02/1968  0      4.9    29     13 
26/02/1968  0      3.2    28     13 
27/02/1968  0      2      27     11 
28/02/1968  0      1.9    25     11 
29/02/1968  25     4.1    28     13 
01/04/1968  0      4.1    29     14 
02/04/1968  0      7.8    30     8.5 
03/04/1968  0      5.4    34     8 
04/04/1968  0      5.8    30     9.5 
05/04/1968  0      6.8    32     9 
06/04/1968  0      6.7    33     11 
07/04/1968  0      5.4    30     9 
08/04/1968  0      6.8    31.5   11 
09/04/1968  0      7.4    31     14 
10/04/1968  0      6.8    30     11 
11/04/1968  0      3.8    31     12 
12/04/1968  0      4.1    31     10 
13/04/1968  0      6.5    34     9 
14/04/1968  0      3.4    33     12 
15/04/1968  0      7.1    33     12 
16/04/1968  0      7.3    32     16 
17/04/1968  0      5.8    31     15 
18/04/1968  4      6.1    25     10 
19/04/1968  0      7.6    31     11 
20/04/1968  0      3.2    31     11 
21/04/1968  0      1.6    26     10 
22/04/1968  0      4.1    31     7 
23/04/1968  0      10.3   32     9 
24/04/1968  0      9.7    34     8 
25/04/1968  0      9.9    33     10 
26/04/1968  0      9.4    35     10 
27/04/1968  0      10.6   33     10 
28/04/1968  0      8.6    36     11 
29/04/1968  0      10.4   37     13 
30/04/1968  0      10.7   40     12 
01/05/1968  0      7.4    37     16 
02/05/1968  0      6.2    34     17.5 
03/05/1968  0      7.4    32     15.5 
04/05/1968  0      10.9   34     10 
05/05/1968  0      10.2   33     10 
06/05/1968  0      9.3    34     11 
07/05/1968  0      9.3    34.5   11 
08/05/1968  0      8.7    35     13 
09/05/1968  0      9.4    36     13.5 
10/05/1968  0      8.5    33     15 
11/05/1968  0      5.5    34     14 
12/05/1968  0      3.9    31     13 
13/05/1968  0      9.6    34     13.5 
14/05/1968  0      9.7    35     12 
15/05/1968  0      6.8    30     10 
16/05/1968  0      3.5    34     11 
17/05/1968  0      5      37     12 
18/05/1968  0      7.4    34     12 
19/05/1968  0      11     31     12 
20/05/1968  0      7.4    33     11 
21/05/1968  0      9.8    33     13 
22/05/1968  0      9.5    36     11 
23/05/1968  0      11.4   34     16 
24/05/1968  0      8.7    35     15 
25/05/1968  0      8.1    39     13 
26/05/1968  0      9.2    38     15 
27/05/1968  0      9.2    37     14 
28/05/1968  0      10.4   37     14 
29/05/1968  0      10.1   34     17 
30/05/1968  0      10.9   36     14 
