Date,Time,batt_volt_Min,logger_temp,short_up_Avg,short_dn_Avg,long_up_Avg,long_dn_Avg,cnr4_T_C_Avg,cnr4_T_K_Avg,long_up_corr_Avg,long_dn_corr_Avg,Rs_net_Avg,Rl_net_Avg,albedo_Avg,Rn_Avg,AirTC_Avg,RH,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,Temp_C_Avg(1),Temp_C_Avg(2),Temp_C_Avg(3),Temp_C_Avg(4),H. suelo 60,Result2_Avg,T. suelo 60 cm,Result4_Avg,Result5_Avg,Result6_Avg,Result7_Avg,Result8_Avg,Result9_Avg,Riego
06/01/2018,17:00:00,12.39,28.43,36.15,7.23,-47.65,-13.43,27.69,300.84,416.77,451,36.01,-34.22,0,1.79,27.75,20.61,2.33,0,0,32.82,34.91,33.98,29.96,0.23,0.04,24.33,75.8,0.04,14.16,13.37,14.46,13.46,0
06/01/2018,17:30:00,12.27,27.38,22.42,4.48,-56.17,-15.24,26.63,299.78,401.77,442.7,22.34,-40.93,0,-18.59,26.57,25.25,3.12,0,0,33.62,35.21,33.32,29.93,0.23,0.04,21.95,71.54,0.04,14.1,13.23,14.32,13.81,0
06/01/2018,18:00:00,12.22,26.3,1.41,0.28,-52.09,-15.6,24.9,298.05,395.37,431.87,1.4,-36.5,0,-35.1,25.01,26.45,2.54,0,0,31.43,32.88,31.15,26.51,0.23,0.04,21.34,70.38,0.04,14.31,13.12,14.51,13.84,0
06/01/2018,18:30:00,12.19,25.04,-2.77,-0.55,-51.42,-14.43,23.31,296.46,386.56,423.54,-3.15,-36.98,-0.16,-40.13,23.65,29.22,2.01,0,0,29,30.29,28.74,25.28,0.23,0.04,21.12,70.02,0.04,14.38,13.18,14.58,13.94,0
06/01/2018,19:00:00,12.17,23.92,-2.48,-0.5,-50.24,-13.61,22.48,295.63,382.87,419.49,-2.84,-36.62,-0.15,-39.46,22.84,31.08,2.14,0,0,26.81,27.92,26.61,24.16,0.24,0.04,21.1,70,0.04,14.41,13.32,14.6,14.11,0
06/01/2018,19:30:00,12.14,22.8,-2.13,-0.43,-47.28,-13.79,21.37,294.52,379.34,412.83,-2.23,-33.49,-0.05,-35.72,22.02,31.85,1.05,0,0,24.75,25.67,24.61,23.39,0.24,0.04,21.1,70,0.04,14.63,13.5,14.83,14.3,0
06/01/2018,20:00:00,12.11,21.6,-2.21,-0.44,-46.72,-12.81,20.3,293.45,373.75,407.65,-2.3,-33.91,-0.04,-36.2,21.01,34.8,0.81,0,0,22.48,23.2,22.36,22.42,0.24,0.04,21.08,69.95,0.04,14.72,13.82,14.92,14.65,0
06/01/2018,20:30:00,12.09,20.31,-2.12,-0.42,-50.98,-11.53,18.94,292.09,361.76,401.21,-2.38,-39.45,-0.14,-41.83,20.18,37.47,0.24,0,0,20.06,20.59,19.97,20.33,0.24,0.04,21,69.8,0.04,14.94,13.93,15.14,14.77,0
06/01/2018,21:00:00,12.06,19.05,-2.59,-0.52,-55.46,-12.6,18,291.15,351.96,394.82,-2.78,-42.86,-0.08,-45.64,18.2,39.41,1.88,0,0,17.64,18.04,17.61,18,0.24,0.04,20.92,69.64,0.04,14.98,14.04,15.18,14.89,0
06/01/2018,21:30:00,12.03,18.07,-2.67,-0.53,-57.13,-13.04,17.31,290.46,346.47,390.56,-2.86,-44.09,-0.08,-46.96,17.61,41.29,1.73,0,0,15.76,16.04,15.83,16.25,0.24,0.04,20.91,69.61,0.04,14.87,14.14,15.06,14.98,0
06/01/2018,22:00:00,12.01,17.19,-2.34,-0.47,-53.54,-12.4,16.76,289.91,346.98,388.12,-2.53,-41.14,-0.09,-43.68,16.96,44.21,1.91,0,0,14.15,14.31,14.32,14.78,0.24,0.04,20.91,69.61,0.04,14.98,14.11,15.18,14.96,0
06/01/2018,22:30:00,11.99,16.54,-2.3,-0.46,-52.71,-11.24,16.28,289.43,345.2,386.67,-2.47,-41.47,-0.07,-43.94,16.56,45.64,2.11,0,0,12.98,13.04,13.27,13.76,0.24,0.04,20.91,69.61,0.04,15.05,14.06,15.25,14.91,0
06/01/2018,23:00:00,11.97,16.03,-1.79,-0.36,-42.51,-8.9,15.86,289.01,353.06,386.66,-1.93,-33.6,-0.1,-35.54,16.03,46.27,2.09,0,0,12.1,12.04,12.48,13.01,0.24,0.04,20.91,69.62,0.04,15.05,14.06,15.25,14.91,0
06/01/2018,23:30:00,11.96,15.76,-0.46,-0.09,-25.16,-5.18,16.12,289.27,371.82,391.8,-0.63,-19.98,-0.42,-20.61,16.26,44.49,1.82,0,0,11.69,11.54,12.15,12.68,0.24,0.04,20.92,69.63,0.04,15.01,14.12,15.21,14.97,0
07/01/2018,00:00:00,11.95,15.83,-1.06,-0.21,-27.17,-5.58,16.35,289.5,371.08,392.66,-1.16,-21.58,-0.12,-22.75,16.51,44.52,1.51,0,0,12.02,11.78,12.53,13.09,0.24,0.04,20.94,69.67,0.04,14.95,14.2,15.15,15.05,0
07/01/2018,00:30:00,11.93,15.68,-0.87,-0.17,-31.56,-6.36,16.18,289.33,365.77,390.97,-1.03,-25.2,-0.11,-26.23,16.51,43.83,1.52,0,0,11.92,11.59,12.44,13,0.24,0.04,20.99,69.78,0.04,14.91,14.25,15.11,15.11,0
07/01/2018,01:00:00,11.93,15.63,-0.97,-0.19,-26.19,-6.08,16.34,289.49,372.05,392.16,-1.05,-20.11,-0.05,-21.16,16.61,46.82,0.89,0,0,11.97,11.56,12.49,13.05,0.24,0.04,21.05,69.9,0.04,14.91,14.25,15.11,15.11,0
07/01/2018,01:30:00,11.92,15.43,-0.96,-0.19,-27.9,-4.41,15.81,288.96,367.38,390.87,-1.06,-23.49,-0.13,-24.55,16.07,46.65,1.41,0,0,11.73,11.26,12.25,12.82,0.24,0.04,21.09,69.97,0.04,14.91,14.26,15.11,15.12,0
07/01/2018,02:00:00,11.91,15.31,-2.06,-0.41,-45.14,-7.95,15.78,288.93,350.01,387.19,-2.18,-37.19,-0.06,-39.37,16.06,46.27,2.1,240,0.02,11.61,11.08,12.12,12.69,0.24,0.04,21.09,69.98,0.04,14.9,14.26,15.1,15.12,0
07/01/2018,02:30:00,11.91,15.04,-1.32,-0.26,-35.65,-7.15,15.36,288.51,357.21,385.7,-1.42,-28.49,-0.08,-29.92,15.81,47.76,1.23,0,0,11.22,10.64,11.73,12.32,0.24,0.04,21.1,69.99,0.04,14.91,14.26,15.1,15.12,0
07/01/2018,03:00:00,11.9,14.74,-1.22,-0.24,-25.85,-4.12,14.91,288.06,364.58,386.31,-1.26,-21.74,-0.04,-23,15.03,48.66,1.05,0,0,10.7,10.08,11.24,11.87,0.24,0.04,21.1,70,0.04,14.9,14.26,15.1,15.12,0
07/01/2018,03:30:00,11.89,14.37,-1.14,-0.23,-29,-3.32,14.44,287.59,358.85,384.53,-1.23,-25.68,-0.1,-26.91,14.7,49.62,1.09,0,0,10.06,9.38,10.59,11.25,0.24,0.04,21.1,70,0.04,14.9,14.26,15.1,15.11,0
07/01/2018,04:00:00,11.88,13.98,-1.74,-0.35,-40.3,-6.21,14.19,287.34,346.21,380.3,-1.87,-34.09,-0.08,-35.96,14.42,49.73,1.75,0,0,9.38,8.65,9.91,10.58,0.24,0.04,21.1,70,0.04,14.91,14.26,15.1,15.11,0
07/01/2018,04:30:00,11.87,13.61,-1.24,-0.25,-46.44,-7.66,14.09,287.24,339.56,378.34,-1.45,-38.78,-0.21,-40.24,14.76,48,1.46,0,0,8.71,7.94,9.25,9.93,0.24,0.04,21.1,70,0.04,14.91,14.26,15.11,15.1,0
07/01/2018,05:00:00,11.87,13.49,-1.31,-0.26,-43.84,-9.74,14.5,287.65,344.33,378.43,-1.49,-34.1,-0.33,-35.59,15.3,47.16,0.82,120,0.01,8.62,7.82,9.2,9.88,0.24,0.04,21.1,70,0.04,14.91,14.26,15.11,15.1,0
07/01/2018,05:30:00,11.86,12.96,-2.51,-0.5,-46.98,-9.04,13.41,286.56,335.38,373.33,-2.59,-37.94,-0.03,-40.53,13.93,54.51,0.66,0,0,7.69,6.83,8.27,8.99,0.24,0.04,21.1,70,0.04,14.91,14.26,15.11,15.1,0
07/01/2018,06:00:00,11.85,12.32,-1,-0.2,-39.39,-5.48,12.5,285.65,338.12,372.03,-1.07,-33.92,-0.1,-34.99,12.9,54.2,1.29,0,0,6.38,5.48,6.99,7.74,0.24,0.04,21.1,70,0.04,14.92,14.26,15.12,15.1,0
07/01/2018,06:30:00,11.84,11.87,-2.01,-0.4,-47.75,-6.82,12.07,285.22,327.49,368.42,-2.19,-40.93,-0.17,-43.12,12.43,52.29,1.76,0,0,5.6,4.67,6.26,6.99,0.24,0.04,21.1,70,0.04,14.91,14.26,15.11,15.1,0
07/01/2018,07:00:00,11.84,11.93,-0.99,-0.2,-45.22,-10.62,13.77,286.92,339.04,373.64,-1.23,-34.6,-0.16,-35.83,14.42,44.72,1.83,0,0,5.74,4.78,6.47,7.18,0.24,0.04,21.1,70,0.04,14.92,14.26,15.12,15.1,0
07/01/2018,07:30:00,11.83,12.04,0.58,0.12,-50.58,-10.42,13.37,286.52,331.57,371.73,0.39,-40.16,0.12,-39.78,13.53,50.96,2.13,0,0,6.18,5.19,6.95,7.67,0.24,0.04,21.1,70,0.04,14.92,14.25,15.12,15.09,0
07/01/2018,08:00:00,11.86,12.3,42.44,8.49,-52.44,-8.47,14.04,287.19,333.25,377.22,40.99,-43.97,0.04,-2.98,14.52,45.2,1.59,0,0,6.67,5.64,7.48,8.22,0.24,0.04,21.1,70,0.04,14.92,14.25,15.12,15.1,0
07/01/2018,08:30:00,12.34,13.65,114.7,22.94,-55.71,-5.78,15.9,289.05,340.12,390.05,111.35,-49.94,0.03,61.41,15.87,42.66,1.66,0,0,9.36,8.29,10.2,10.94,0.24,0.04,21.1,70,0.04,14.92,14.26,15.12,15.1,0
07/01/2018,09:00:00,12.63,15.52,192.92,38.58,-59.83,-0.28,18.48,291.63,350.32,409.87,187.56,-59.55,0.03,128.01,18.51,35.91,0.57,0,0,13.17,12.08,14.01,14.75,0.24,0.04,21.1,70,0.04,14.91,14.26,15.12,15.09,0
07/01/2018,09:30:00,12.64,17.94,244.64,48.93,-69.27,-1.74,21.9,295.05,360.43,427.96,237.34,-67.53,0.03,169.8,21.42,30.51,0.16,0,0,18.13,17.04,18.85,19.57,0.24,0.04,21.1,70,0.04,14.92,14.26,15.12,15.08,0
07/01/2018,10:00:00,12.64,20.6,336.62,67.32,-77.63,0.2,25.15,298.3,371.33,449.16,312.22,-77.83,0.08,234.39,23.66,24.42,0.64,120,0,23.45,22.35,23.98,24.69,0.24,0.04,21.1,70,0.04,14.93,14.25,15.13,15.08,0
07/01/2018,10:30:00,12.69,22.91,421.88,84.38,-80.48,7.62,26.66,299.81,377.61,465.72,417.18,-88.1,0.01,329.07,24.45,23.47,1.58,0,0,28.22,27.18,28.5,29.23,0.24,0.04,21.1,70,0.04,14.95,14.24,15.15,15.07,0
07/01/2018,11:00:00,12.54,24.8,473.06,94.61,-82.91,12.96,28.33,301.48,385.51,481.38,469.94,-95.87,0.01,374.08,25.81,19.79,1.43,120,0,31.95,30.98,31.94,32.76,0.24,0.04,21.1,70,0.04,14.93,14.24,15.14,15.07,0
07/01/2018,11:30:00,12.49,26.71,513.14,102.63,-88.82,13.96,30.78,303.93,395.03,497.81,511.06,-102.78,0,408.27,27.37,18.53,0.91,120,0,35.59,34.67,35.21,36.14,0.24,0.04,21.1,69.99,0.04,14.94,14.22,15.14,15.05,0
07/01/2018,12:00:00,12.84,28.45,532.83,106.57,-90.86,15.79,32.18,305.33,401.94,508.59,530.91,-106.65,0,424.26,28.49,17.07,0.84,0,0,38.96,38.1,38.18,39.14,0.24,0.04,21.1,69.99,0.04,14.97,14.19,15.18,15.01,0
07/01/2018,12:30:00,12.57,29.77,490.67,98.13,-90.72,13.82,32.94,306.09,406.97,511.52,488.91,-104.54,0,384.37,29.21,17.04,0.77,0,0,41.48,40.73,40.36,41.19,0.24,0.04,21.09,69.98,0.04,15,14.16,15.2,14.98,0
07/01/2018,13:00:00,12.61,30.32,439.9,87.98,-84.62,13.5,32.36,305.51,409.31,507.43,438.31,-98.12,0,340.2,29.12,17.61,1.17,0,0,42.38,41.77,41.07,41.62,0.24,0.04,21.1,70,0.04,15.02,14.14,15.22,14.96,0
07/01/2018,13:30:00,12.61,30.79,402.88,87.62,-87.17,11.71,32.46,305.61,407.42,506.31,401.43,-98.88,0,302.54,29.35,17.33,1.19,0,0,42.95,42.51,41.53,41.87,0.24,0.04,21.1,70,0.04,15.06,14.1,15.26,14.93,0
07/01/2018,14:00:00,12.75,30.76,383.37,88.18,-81.89,12.13,31.48,304.63,406.42,500.45,381.97,-94.03,0,287.94,29.37,17.87,1.42,0,0,42.68,42.41,41.14,41.37,0.25,0.04,21.1,70,0.04,15.09,14.07,15.29,14.9,0
07/01/2018,14:30:00,12.63,31.1,464.51,106.84,-84.19,12.44,32.45,305.6,410.37,506.99,459.38,-96.63,0.01,362.75,29.93,17.43,1.81,0,0,42.91,42.81,41.32,37.76,0.24,0.04,21.1,70,0.04,15.07,14.1,15.28,14.93,0
07/01/2018,15:00:00,12.77,31.01,263.4,55.76,-77.59,2.9,31.15,304.3,408.62,489.1,207.65,-80.49,0.21,127.16,29.35,18.4,2.06,253.03,19.6,36.65,42.52,40.81,33.47,0.24,0.04,21.09,69.99,0.04,14.91,14.19,15.11,15.04,0
07/01/2018,15:30:00,12.78,30.7,307.47,64.91,-80.99,5.85,30.81,303.96,403.05,489.89,242.56,-86.84,0.21,155.72,29.27,18.74,2.53,265.03,17.86,32.78,41.74,39.86,34.43,0.24,0.04,21.1,70,0.04,14.85,14.24,15.05,15.08,0
07/01/2018,16:00:00,12.79,30.88,253.2,54.32,-84.39,1.85,30.46,303.61,397.37,483.61,198.88,-86.24,0.21,112.64,29.19,19.05,2.52,272.37,21.59,38.91,41.68,39.64,41.46,0.24,0.04,21.1,70,0.04,14.86,14.23,15.06,15.07,0
07/01/2018,16:30:00,12.66,29.79,139.96,30.13,-86.2,-7.58,29.09,302.24,386.93,465.54,109.83,-78.61,0.21,31.22,28.6,19.91,2.89,264.2,12.99,36.9,39.47,37.43,39.24,0.24,0.04,21.09,69.99,0.04,14.87,14.22,15.07,15.08,0
07/01/2018,17:00:00,12.46,28.74,44.76,10.39,-72.51,-13.39,27.5,300.65,390.73,449.86,34.36,-59.12,0.23,-24.76,27.55,21.88,2.44,265.03,10.75,35.32,37.53,35.49,37.2,0.24,0.04,21.06,69.93,0.04,14.86,14.23,15.05,15.09,0
07/01/2018,17:30:00,12.35,27.42,15.94,4.61,-63.63,-14.9,25.94,299.09,390.08,438.81,11.33,-48.73,0.3,-37.4,26.21,23.97,2.06,252.4,7.84,33.1,34.75,32.81,34.42,0.24,0.04,20.92,69.65,0.04,14.86,14.23,15.06,15.09,0
07/01/2018,18:00:00,12.29,26.39,-0.05,1.45,-68.12,-17.13,24.78,297.93,378.59,429.57,-1.5,-50.99,0.11,-52.49,25.23,26.29,2.02,253.4,9.73,31.42,32.64,30.81,32.34,0.24,0.04,20.9,69.6,0.04,14.87,14.22,15.06,15.07,0
07/01/2018,18:30:00,12.26,25,-3.24,1.1,-68.95,-18.53,23.16,296.31,368.15,418.57,-4.34,-50.42,-0.34,-54.76,23.84,29.46,1.61,255.37,8.09,29.08,29.78,28.12,29.53,0.24,0.04,20.9,69.6,0.04,14.88,14.2,15.08,15.06,0
07/01/2018,19:00:00,12.23,23.64,-2.71,1.44,-64.64,-15.85,21.86,295.01,364.83,413.63,-4.14,-48.8,-0.54,-52.94,22.57,31.69,2.08,248.27,7.89,26.74,26.95,25.5,26.76,0.24,0.04,20.9,69.6,0.04,14.9,14.17,15.1,15.03,0
07/01/2018,19:30:00,12.21,22.73,-2.02,1.34,-52.63,-13.74,21.42,294.57,374.29,413.18,-3.36,-38.89,-0.67,-42.25,22.04,33.19,1.84,256.43,7.2,25.29,25.02,23.86,24.96,0.24,0.04,20.9,69.6,0.04,14.92,14.15,15.11,15.02,0
07/01/2018,20:00:00,12.19,22.02,-2.04,1.16,-55.65,-14.15,20.93,294.08,368.41,409.91,-3.2,-41.5,-0.57,-44.7,21.52,35.07,1.86,270.53,7.66,24.29,23.62,22.69,23.66,0.24,0.04,20.9,69.6,0.04,14.92,14.14,15.11,15.01,0
07/01/2018,20:30:00,12.17,21.18,-2.52,1.06,-60.96,-15.47,20.04,293.19,358,403.49,-3.58,-45.49,-0.43,-49.07,20.79,36.81,1.08,268.13,18.09,23.03,22,21.28,22.11,0.24,0.04,20.9,69.6,0.04,14.92,14.15,15.11,15.02,0
07/01/2018,21:00:00,12.15,19.99,-2.72,2.25,-61.08,-14.18,18.64,291.79,349.93,396.84,-4.97,-46.91,-0.87,-51.88,19.39,41.23,1.15,168.5,16.33,20.95,19.65,19.09,19.8,0.24,0.04,20.9,69.6,0.04,14.91,14.15,15.11,15.02,0
07/01/2018,21:30:00,12.12,18.96,-2.37,2.03,-58.86,-13.12,17.89,291.04,347.94,393.68,-4.4,-45.74,-1.18,-50.14,18.45,42.99,1.31,114.27,23.31,19.14,17.53,17.15,17.76,0.24,0.04,20.9,69.6,0.04,14.91,14.16,15.1,15.02,0
07/01/2018,22:00:00,12.1,17.98,-2.76,1.37,-55.69,-11.12,16.87,290.02,345.47,390.04,-4.14,-44.57,-0.51,-48.71,17.12,44.81,1.68,136.13,18.84,17.52,15.61,15.43,15.92,0.24,0.04,20.9,69.6,0.04,14.89,14.18,15.09,15.04,0
07/01/2018,22:30:00,12.08,17.12,-1.89,1.79,-49.59,-9.04,16.15,289.3,347.6,388.15,-3.67,-40.55,-0.98,-44.23,16.68,46.3,1.47,189.87,8.28,16.09,13.91,13.91,14.29,0.24,0.04,20.9,69.6,0.04,14.89,14.18,15.09,15.03,0
07/01/2018,23:00:00,12.06,16.44,-1.75,2.25,-47.31,-7.14,15.58,288.73,346.76,386.93,-4,-40.17,-1.46,-44.17,16.25,47.88,1.13,132.3,25.38,14.96,12.52,12.7,12.99,0.24,0.04,20.93,69.65,0.04,14.88,14.2,15.08,15.05,0
07/01/2018,23:30:00,12.04,15.85,-1.93,1.39,-43.86,-6.29,15.17,288.32,347.97,385.53,-3.32,-37.57,-0.78,-40.89,15.47,49.48,1.92,125.1,15.23,14.07,11.43,11.78,11.97,0.24,0.04,20.98,69.76,0.04,14.88,14.2,15.07,15.06,0
08/01/2018,00:00:00,12.03,15.41,-1.39,2.03,-40.06,-5.49,14.98,288.13,350.74,385.31,-3.41,-34.57,-1.61,-37.98,15.33,48.6,1.55,147.53,11.83,13.45,10.61,11.12,11.22,0.24,0.04,21.06,69.92,0.04,14.87,14.21,15.07,15.07,0
08/01/2018,00:30:00,12.01,15.03,-1.18,2.56,-43.35,-6.92,15.05,288.2,347.82,384.25,-3.74,-36.42,-2.22,-40.16,15.64,47.95,0.9,157.13,12.65,12.91,9.88,10.52,10.56,0.24,0.04,21.09,69.98,0.04,14.87,14.21,15.07,15.07,0
08/01/2018,01:00:00,12,14.63,-1.08,1.04,-43.15,-8.6,15.01,288.16,347.81,382.36,-2.12,-34.56,-0.23,-36.68,15.46,52.72,0.33,58.69,10.24,12.36,9.22,9.97,9.91,0.24,0.04,21.1,70,0.04,14.87,14.21,15.07,15.06,0
08/01/2018,01:30:00,11.98,14.1,-0.45,1.66,-37.39,-5.09,14.14,287.29,348.83,381.13,-2.12,-32.3,#¡DIV/0!,-34.41,14.52,56.29,0.89,25.51,3.36,11.48,8.23,9.08,8.96,0.24,0.04,21.1,70,0.04,14.88,14.21,15.07,15.06,0
08/01/2018,02:00:00,11.96,13.65,-1.3,1.31,-42.1,-4.54,13.48,286.63,340.62,378.18,-2.61,-37.56,-0.41,-40.17,13.68,60.3,1.4,45.28,17.04,10.76,7.41,8.36,8.19,0.24,0.04,21.1,70,0.04,14.87,14.22,15.07,15.06,0
08/01/2018,02:30:00,11.95,13.4,-1.01,2.4,-45.03,-6.28,13.95,287.1,340.19,378.94,-3.42,-38.75,-2.29,-42.16,14.3,54.35,1.75,79.23,8.86,10.36,6.91,7.98,7.76,0.24,0.04,21.1,70,0.04,14.87,14.22,15.07,15.06,0
08/01/2018,03:00:00,11.94,13.51,-1.79,1.8,-49.72,-9.26,14.46,287.61,338.27,378.73,-3.59,-40.46,-1.03,-44.04,14.97,51.31,1.58,82.74,6.57,10.78,7.23,8.41,8.13,0.24,0.04,21.1,70,0.04,14.86,14.23,15.06,15.07,0
08/01/2018,03:30:00,11.92,13.47,-1.77,1.69,-50.12,-9.84,14.24,287.39,336.67,376.94,-3.46,-40.28,-1.02,-43.74,14.86,52.62,1.31,69.12,10.55,10.96,7.31,8.55,8.21,0.24,0.04,21.1,70,0.04,14.86,14.23,15.06,15.07,0
08/01/2018,04:00:00,11.91,13.25,-1.2,1.58,-45.59,-8.18,13.85,287,339.08,376.48,-2.78,-37.41,-1.47,-40.19,14.46,52.81,1.63,31.26,7,10.7,6.96,8.26,7.86,0.24,0.04,21.1,70,0.04,14.86,14.23,15.06,15.07,0
08/01/2018,04:30:00,11.9,13.21,-0.57,2.25,-45,-6.9,13.85,287,339.71,377.81,-2.82,-38.1,-2.28,-40.92,14.71,51.31,1.66,38.48,9.3,10.72,6.89,8.28,7.85,0.24,0.04,21.1,70,0.04,14.86,14.23,15.06,15.07,0
08/01/2018,05:00:00,11.89,13.33,-0.65,2.05,-44.71,-9.1,14.27,287.42,342.23,377.85,-2.71,-35.61,-3.57,-38.32,15.32,51.11,1.16,42.48,9.75,11.16,7.25,8.71,8.23,0.24,0.04,21.1,70,0.04,14.86,14.23,15.06,15.07,0
08/01/2018,05:30:00,11.88,13.38,-0.59,2.43,-44.89,-8.67,14.55,287.7,343.57,379.78,-3.02,-36.21,-3.41,-39.23,15.52,50.43,1.78,57.51,8.41,11.38,7.43,8.95,8.44,0.24,0.04,21.1,70,0.04,14.86,14.23,15.06,15.07,0
08/01/2018,06:00:00,11.87,13.99,-1.53,1.39,-45.97,-10.35,15.91,289.06,349.87,385.49,-2.92,-35.62,-1.04,-38.54,16.45,48.42,2.37,64.92,10.68,12.65,8.69,10.29,9.76,0.24,0.04,21.1,70,0.04,14.86,14.23,15.06,15.07,0
